AUC,Sensitivity,specificity,PPV,NPV,F1_Score_pos,F1_Score_neg,Accuracy,KAPPA,Model
0.919483687,0.829268293,0.825704225,0.63197026,0.930555556,0.717299578,0.875,0.826649418,0.595559755,RF
0.872875083,0.801801802,0.79491833,0.611683849,0.908713693,0.693957115,0.848015489,0.796895213,0.546050983,RF
0.914746419,0.793650794,0.83109405,0.694444444,0.892783505,0.740740741,0.86083499,0.818887451,0.602523984,RF
0.858967962,0.740384615,0.794690265,0.57037037,0.892644135,0.644351464,0.84082397,0.78007762,0.489022996,RF
0.888627757,0.807881773,0.807017544,0.598540146,0.921843687,0.687631027,0.860617399,0.807244502,0.552670724,RF
0.900474407,0.820083682,0.801498127,0.649006623,0.908704883,0.724584104,0.851741294,0.807244502,0.579395772,RF
0.88951275,0.786666667,0.837591241,0.665413534,0.905325444,0.720977597,0.87014218,0.822768435,0.592442359,RF
0.866206165,0.770642202,0.810810811,0.615384615,0.9,0.684317719,0.853080569,0.799482536,0.540084064,RF
0.891383456,0.850678733,0.778985507,0.606451613,0.928725702,0.708097928,0.84729064,0.799482536,0.561828242,RF
0.887259565,0.804979253,0.815789474,0.664383562,0.902286902,0.727954972,0.856860809,0.812419146,0.58680626,RF
0.89167276,0.789237668,0.816363636,0.635379061,0.905241935,0.704,0.858508604,0.808538163,0.564934324,RF
0.893510322,0.761904762,0.822380107,0.615384615,0.902534113,0.680851064,0.860594796,0.805950841,0.543701547,RF
0.899878415,0.814159292,0.81535649,0.645614035,0.913934426,0.720156556,0.861835749,0.815006468,0.584725546,RF
0.863999599,0.782407407,0.761220826,0.559602649,0.900212314,0.652509653,0.824902724,0.767141009,0.484571217,RF
0.905197248,0.791469194,0.84519573,0.657480315,0.91522158,0.71827957,0.878815911,0.830530401,0.598572091,RF
0.86745615,0.737777778,0.837591241,0.650980392,0.886100386,0.691666667,0.861163227,0.808538163,0.553615045,RF
0.905605497,0.804761905,0.831261101,0.640151515,0.919449902,0.713080169,0.873134328,0.824062096,0.588575543,RF
0.915560798,0.823232323,0.820869565,0.612781955,0.930966469,0.702586207,0.87245841,0.821474774,0.578922853,RF
0.884494391,0.766949153,0.826815642,0.660583942,0.889779559,0.709803922,0.857142857,0.808538163,0.568127081,RF
0.894844943,0.774058577,0.835205993,0.677655678,0.892,0.72265625,0.862669246,0.816300129,0.586228994,RF
0.897457737,0.755656109,0.822463768,0.630188679,0.893700787,0.687242798,0.856603774,0.803363519,0.545554404,RF
0.874568722,0.796296296,0.797127469,0.603508772,0.909836066,0.686626747,0.849760766,0.796895213,0.540565506,RF
0.872649664,0.789473684,0.790825688,0.612244898,0.899791232,0.689655172,0.841796875,0.790426908,0.535239495,RF
0.896350627,0.793248945,0.830223881,0.673835125,0.900809717,0.728682171,0.86407767,0.818887451,0.594107013,RF
0.908787382,0.834101382,0.805755396,0.626297578,0.925619835,0.71541502,0.861538462,0.813712807,0.581080267,RF
0.869330276,0.787037037,0.797127469,0.600706714,0.906122449,0.681362725,0.848137536,0.794307891,0.533508432,RF
0.864487639,0.775229358,0.790990991,0.592982456,0.899590164,0.671968191,0.841802493,0.786545925,0.517895819,RF
0.880071432,0.785714286,0.8,0.636054422,0.893528184,0.703007519,0.84418146,0.795601552,0.549806113,RF
0.867890935,0.775862069,0.785582255,0.608108108,0.890985325,0.681818182,0.83497053,0.782664942,0.520443131,RF
0.856990422,0.775229358,0.781981982,0.582758621,0.898550725,0.665354331,0.836223507,0.78007762,0.506430192,RF
0.889526978,0.774509804,0.817223199,0.603053435,0.909980431,0.678111588,0.861111111,0.805950841,0.542282155,RF
0.891059837,0.777310924,0.824299065,0.663082437,0.892712551,0.715667311,0.857142857,0.809831824,0.574155758,RF
0.896145341,0.803108808,0.80862069,0.582706767,0.92504931,0.675381264,0.862925483,0.807244502,0.543185884,RF
0.876568408,0.798283262,0.772222222,0.601941748,0.898706897,0.686346863,0.830677291,0.78007762,0.522096795,RF
0.863089266,0.740566038,0.789661319,0.570909091,0.889558233,0.64476386,0.836638338,0.776196636,0.485362766,RF
0.895096239,0.791044776,0.807692308,0.591078067,0.916666667,0.676595745,0.858736059,0.803363519,0.539541956,RF
0.887473412,0.789215686,0.817223199,0.60754717,0.915354331,0.686567164,0.863509749,0.809831824,0.55336711,RF
0.88433513,0.790697674,0.813620072,0.620437956,0.909819639,0.695296524,0.859035005,0.807244502,0.557312906,RF
0.877440248,0.785388128,0.796028881,0.603508772,0.903688525,0.682539683,0.846449136,0.79301423,0.532863477,RF
0.901476053,0.807017544,0.836697248,0.673992674,0.912,0.734530938,0.872727273,0.827943079,0.608771429,RF
0.891459845,0.79253112,0.804511278,0.647457627,0.89539749,0.712686567,0.847524752,0.800776197,0.562567521,RF
0.876731875,0.763636364,0.808318264,0.613138686,0.895791583,0.680161943,0.849809886,0.795601552,0.532594469,RF
0.85315884,0.754545455,0.786618445,0.584507042,0.889570552,0.658730159,0.834932821,0.777490298,0.497581547,RF
